WT2017,WT2018,WT2019,WT2020,WT2021,WT2022,WT2023
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
100,100,100,100,100,100,100
